2023-12-24 20:04:42.332,91282CJL6,99-002,0-002,
2023-12-24 20:04:42.632,91282CJL6,100-077,0-003,
2023-12-24 20:04:42.932,91282CJK8,100-186,0-003,
2023-12-24 20:04:43.232,91282CJN2,99-162,0-003,
2023-12-24 20:04:43.532,91282CJM4,100-185,0-003,
2023-12-24 20:04:43.832,91282CJJ1,100-310,0-00+,
2023-12-24 20:04:44.132,912810TV0,100-213,0-00+,
2023-12-24 20:16:18.960,91282CJL6,99-001,0-003,
2023-12-24 20:16:19.260,912810TV0,100-120,0-003,
2023-12-24 20:26:55.300,912810TV0,100-003,0-003,
2023-12-24 20:31:00.300,912810TV0,100-053,0-002,
2023-12-24 20:34:42.861,91282CJL6,99-002,0-002,
2023-12-24 20:34:43.161,912810TV0,99-176,0-003,
2023-12-24 20:37:53.825,91282CJL6,99-002,0-00+,
2023-12-24 20:37:54.125,912810TV0,99-003,0-003,
2023-12-24 21:43:02.817,91282CJL6,99-002,0-00+,
2023-12-24 21:43:03.117,912810TV0,99-207,0-003,
2023-12-24 21:53:00.442,91282CJL6,99-001,0-003,
2023-12-24 21:53:00.742,912810TV0,99-225,0-003,
2023-12-24 21:58:20.300,91282CJM4,99-283,0-00+,
2023-12-24 22:02:00.379,91282CJL6,99-002,0-003,
2023-12-24 22:02:00.679,912810TV0,100-122,0-003,
2023-12-24 22:05:28.300,91282CJL6,100-147,0-003,
2023-12-24 22:05:58.800,91282CJL6,99-002,0-002,
2023-12-24 22:05:59.100,912810TV0,99-31+,0-003,
2023-12-24 22:32:35.358,91282CJL6,99-002,0-00+,
2023-12-24 22:32:35.658,912810TV0,99-087,0-002,
2023-12-24 22:42:39.831,91282CJL6,99-002,0-00+,
2023-12-24 22:42:40.131,912810TV0,100-257,0-00+,
